"API Key","API Key"
"Authorize Only","Authorize Only"
"Authorize and Capture","Authorize and Capture"
"Client ID","Client ID"
"Credit Card Types","Credit Card Types"
"Debug","Debug"
"eMerchantPay Payment Module","eMerchantPay Payment Module"
"Enabled","Enabled"
"New Order Status","New Order Status"
"Payment Action","Payment Action"
"Test Mode","Test Mode"
"Title","Title"
